Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)
585.5,642.247
586.5,935.51
587.5,1129.89
588.5,1226.41
589.5,1219.67
590.5,1112.17
591.5,914.204
592.5,618.889
593.5,217.467
594.5,-0.019089
595.5,-0.019089
596.5,-0.019089
597.5,-0.019089
598.5,-0.019089
599.5,-0.019089
600.5,-0.019089
601.5,-0.019089
602.5,-0.019089
603.5,-0.019089
604.5,-0.019089
605.5,-0.019089
606.5,-0.019089
607.5,-0.019089
608.5,116.467
609.5,610.731
610.5,906.092
611.5,1094.75
612.5,455.912
613.5,455.066
614.5,1080.38
615.5,900.785
616.5,616.147
617.5,223.923
618.5,-0.019089
619.5,-0.019089
620.5,-0.019089
621.5,-0.019089
622.5,-0.019089
623.5,-0.019089
624.5,-0.019089
625.5,-0.019089
626.5,-0.019089
627.5,-0.019089
628.5,-0.019089
629.5,-0.019089
630.5,-0.019089
631.5,-0.019089
632.5,116.249
633.5,632.712
634.5,914.475
635.5,1085.64
636.5,1172.12
637.5,1161.47
638.5,1059.97
639.5,873.911
640.5,597.842
641.5,218.562
642.5,-0.019089
643.5,-0.019089
644.5,-0.019089
645.5,-0.019089
646.5,-0.019089
647.5,-0.019089
648.5,-0.019089
649.5,-0.019089
650.5,-0.019089
651.5,-0.019089
652.5,-0.019089
653.5,-0.019089
654.5,-0.019089
655.5,-0.019089
656.5,95.8034
657.5,624.489
658.5,903.445
659.5,1080.47
660.5,1166.98
661.5,1162.09
662.5,1065.92
663.5,879.759
664.5,609.313
665.5,229.752
666.5,-0.019089
667.5,-0.019089
668.5,-0.019089
669.5,-0.019089
670.5,-0.019089
671.5,-0.019089
672.5,-0.019089
673.5,-0.019089
674.5,-0.019089
675.5,-0.019089
676.5,-0.019089
677.5,-0.019089
678.5,-0.019089
679.5,-0.019089
680.5,108.224
681.5,631.978
682.5,913.236
683.5,1091.61
684.5,1183.46
685.5,1176.15
686.5,1078.61
687.5,889.084
688.5,614.445
689.5,235.438
690.5,-0.019089
691.5,-0.019089
692.5,-0.019089
693.5,-0.019089
694.5,-0.019089
695.5,-0.019089
696.5,-0.019089
697.5,-0.019089
698.5,-0.019089
699.5,-0.019089
700.5,-0.019089
701.5,-0.019089
702.5,-0.019089
703.5,-0.019089
704.5,218.673
705.5,629.456
706.5,210.079
707.5,267.447
708.5,1144.48
709.5,1133.1
710.5,1062.23
711.5,890.154
712.5,614.611
713.5,229.224
714.5,-0.019089
715.5,-0.019089
716.5,-0.019089
717.5,-0.019089
718.5,-0.019089
719.5,-0.019089
