Hours since 00:00 Jan 1,Hourly Data: System power generated (kW)
1137.5,0
1138.5,0
1139.5,0
1140.5,77.8541
1141.5,248.835
1142.5,451.432
1143.5,710.403
1144.5,1035.41
1145.5,576.379
1146.5,196.111
1147.5,506.583
1148.5,1027.82
1149.5,872.65
1150.5,1214.64
1151.5,1231.3
1152.5,1164.77
1153.5,1144.14
1154.5,898.322
1155.5,625.946
1156.5,1207.13
1157.5,963.011
1158.5,635.253
1159.5,1180.91
1160.5,756.563
1161.5,913.931
1162.5,1030.27
1163.5,1148.55
1164.5,1033.15
1165.5,956.165
1166.5,737.846
1167.5,653.599
1168.5,399.877
1169.5,341.522
1170.5,202.971
1171.5,38.1983
1172.5,0
1173.5,0
1174.5,0
1175.5,45.0401
1176.5,62.9234
1177.5,140.143
1178.5,112.532
1179.5,102.068
1180.5,103.806
1181.5,169.576
1182.5,309.906
1183.5,287.997
1184.5,462.714
1185.5,443.454
1186.5,758.022
1187.5,893.397
1188.5,771.413
1189.5,986.066
1190.5,1015.04
1191.5,1186.89
1192.5,1203.47
1193.5,1236.51
1194.5,1147.43
1195.5,960.955
1196.5,1177.1
1197.5,1208.07
1198.5,1245.89
1199.5,1130.5
1200.5,1083.98
1201.5,1185.43
1202.5,1153.02
1203.5,1244.73
1204.5,1193.31
1205.5,1228.69
1206.5,640.176
1207.5,448.635
1208.5,846.317
1209.5,1224.12
1210.5,1251.67
1211.5,1232.92
1212.5,1234.02
1213.5,986.82
1214.5,1218.82
1215.5,1248.02
1216.5,1249.97
1217.5,1235.47
1218.5,1251.67
1219.5,1244.26
1220.5,1235.71
1221.5,807.546
1222.5,416.559
1223.5,527.465
1224.5,1002.6
1225.5,1143.92
1226.5,690.333
1227.5,824.835
1228.5,793.261
1229.5,344.901
1230.5,294.51
1231.5,410.667
1232.5,365.269
1233.5,117.004
1234.5,88.5513
1235.5,0
1236.5,0
1237.5,106.35
1238.5,243.311
1239.5,256.535
1240.5,277.314
1241.5,150.117
1242.5,178.863
1243.5,209.001
1244.5,252.654
1245.5,251.043
1246.5,113.938
1247.5,116.445
1248.5,238.438
1249.5,238.438
1250.5,144.103
1251.5,37.6556
1252.5,43.1287
1253.5,0
1254.5,0
1255.5,0
1256.5,0
1257.5,0
1258.5,0
1259.5,0
1260.5,0
1261.5,0
1262.5,0
1263.5,0
1264.5,0
1265.5,0
1266.5,71.6701
1267.5,225.434
1268.5,152.44
1269.5,135.766
1270.5,53.6011
1271.5,67.4461
1272.5,70.0337
1273.5,56.41
1274.5,0
